Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
100,Proceso(15),0.5749108224108274,3.2016983357465683,2.626787513335741
100,Proceso(16),0.5749108224108274,3.2016983357465683,2.626787513335741
100,Proceso(17),1.0173334347746517,3.0276761493760693,2.0103427146014177
100,Proceso(18),1.166228892736116,1.166228892736116,0.0
100,Proceso(19),3.0276761493760693,3.0276761493760693,0.0
100,Proceso(20),3.0276761493760693,11.19662880882349,8.16895265944742
100,Proceso(21),3.0793626392643527,8.760279104934591,5.680916465670238
100,Proceso(22),3.1469000737585775,5.041249576156138,1.89434950239756
100,Proceso(23),3.2016983357465683,10.265898771984979,7.06420043623841
100,Proceso(24),3.36647431337199,10.265898771984979,6.899424458612989
100,Proceso(25),3.36647431337199,11.19662880882349,7.8301544954515006
100,Proceso(26),4.377167428750591,13.115819010843456,8.738651582092865
